AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10
Hartlepool,E06000001,0.157555192,0.152153098,0.15992669,0.155897162,0.146101315,0.146730902,0.161218874,0.159733649,0.145639234,0.143434449
Middlesbrough,E06000002,0.206377365,0.211603513,0.203254971,0.178860181,0.178654924,0.20839094,0.21087432,0.198514135,0.177326539,0.178614175
Redcar and Cleveland,E06000003,0.1801871,0.181092728,0.185882653,0.186606254,0.170952516,0.184137638,0.181363174,0.181006294,0.182829009,0.170772322
Stockton-on-Tees,E06000004,0.221344155,0.218453552,0.20829892,0.204468236,0.204282974,0.216677664,0.215666661,0.208653935,0.205222611,0.203087419
Darlington,E06000005,0.269200423,0.248219364,0.233234556,0.231771856,0.221691869,0.270981916,0.245916625,0.229134494,0.231841417,0.220388767
Halton,E06000006,0.294083116,0.295843946,0.272446224,0.28351378,0.269711213,0.297790548,0.299928031,0.271667757,0.282376456,0.267524057
Warrington,E06000007,0.378936292,0.361963086,0.350630097,0.339689802,0.331384248,0.370819302,0.356926268,0.345164596,0.336237582,0.322825047
Blackburn with Darwen,E06000008,0.262873102,0.274755815,0.263519227,0.249188591,0.238726295,0.266942086,0.267853624,0.26349378,0.243163229,0.236873294
Blackpool,E06000009,0.259686468,0.256882104,0.229168338,0.222082632,0.215500624,0.256545699,0.249899738,0.228819424,0.220952469,0.211827432
"Kingston upon Hull, City of",E06000010,0.182923667,0.17137576,0.161705862,0.1608339,0.155974134,0.178967118,0.165104778,0.159616016,0.160753635,0.154619059
East Riding of Yorkshire,E06000011,0.278403602,0.265912704,0.265476538,0.273536926,0.266952113,0.280758135,0.265223899,0.268807332,0.272038194,0.265620467
North East Lincolnshire,E06000012,0.181527575,0.19215992,0.188023177,0.188255636,0.17667622,0.188054436,0.189318269,0.188562298,0.184442803,0.171328041
North Lincolnshire,E06000013,0.230202193,0.234982273,0.231413491,0.213600467,0.217901341,0.231460421,0.232331875,0.225079839,0.213709516,0.215477721
York,E06000014,0.33885258,0.334370967,0.322920961,0.312176205,0.312291325,0.346044751,0.331337001,0.327341203,0.314201822,0.318086494
Derby ,E06000015,0.243235698,0.240313051,0.23529801,0.219910003,0.210983463,0.245936055,0.237472977,0.232334919,0.217318803,0.210842829
Leicester,E06000016,0.212691707,0.207315392,0.200331194,0.197656423,0.191584118,0.208208541,0.20811902,0.20202571,0.198078184,0.191768576
Rutland ,E06000017,0.323871859,0.316527297,0.319311258,0.260616778,0.266709135,0.326253048,0.314303736,0.322365237,0.259799875,0.273649314
Nottingham,E06000018,0.237369197,0.23472218,0.234908547,0.23433518,0.233055098,0.235699268,0.234933217,0.236827462,0.232534325,0.227384307
"Herefordshire, County of",E06000019,0.277164394,0.268032165,0.256522922,0.236373664,0.233635709,0.274928257,0.26231379,0.252223199,0.23279287,0.2352966
Telford and Wrekin,E06000020,0.248327629,0.236958897,0.237298814,0.219646358,0.215115576,0.24521333,0.234854543,0.240524739,0.211062425,0.216836359
